"nm0000206"|||"Keanu Reeves"|||"1964"|||\N|||"\"actor,producer,soundtrack\""|||"\"tt0234215,tt0111257,tt0133093,tt0102685\""
"nm0002669"|||"Lori L. Eschler"|||\N|||\N|||"\"music_department,composer,editorial_department\""|||"\"tt0120623,tt0133093,tt0159273,tt0098936\""
"nm0003824"|||"Karen M. Murphy"|||\N|||\N|||"\"visual_effects,miscellaneous,production_manager\""|||"\"tt0241527,tt0133093,tt0970179,tt1856101\""
"nm0004589"|||"Matt Farell"|||"1967"|||\N|||"\"visual_effects,animation_department\""|||"\"tt2015381,tt0120685,tt0133093,tt1392190\""
"nm0005251"|||"Carrie-Anne Moss"|||"1967"|||\N|||"\"actress,producer\""|||"\"tt0242653,tt0133093,tt0209144,tt0457572\""
"nm0005428"|||"Joel Silver"|||"1952"|||\N|||"\"producer,actor,miscellaneous\""|||"\"tt3799694,tt5444294,tt0133093,tt0095016\""
"nm0005597"|||"Thom Brennan"|||\N|||\N|||"\"sound_department,music_department,soundtrack\""|||"\"tt3450958,tt0234215,tt0133093,tt1190080\""
"nm0019956"|||"John Allan"|||\N|||\N|||"\"art_department,art_director,transportation_department\""|||"\"tt0234215,tt0389722,tt0133093,tt0458525\""
"nm0027237"|||"Nathan Anderson"|||\N|||\N|||"\"producer,miscellaneous\""|||"\"tt7786988,tt0133093,tt7378008,tt2904118\""
"nm0035654"|||"Charlie Armstrong"|||\N|||\N|||"visual_effects"|||"\"tt0437086,tt0133093,tt3450958,tt0448011\""
"nm0035733"|||"Ian I.T. Armstrong"|||\N|||\N|||"miscellaneous"|||"tt0133093"
"nm0040058"|||"David Aston"|||\N|||\N|||"actor"|||"\"tt1436278,tt0133093,tt0167260,tt0834001\""
"nm0050390"|||"Jeremy Ball"|||\N|||"2014"|||"actor"|||"\"tt0189500,tt0133093,tt0115417,tt0118311\""
"nm0054311"|||"Tony Bardolph"|||\N|||\N|||"art_department"|||"\"tt0242653,tt0098141,tt0133093,tt0234215\""
"nm0056241"|||"Gil Baron"|||"1970"|||\N|||"visual_effects"|||"\"tt0298130,tt0133093,tt0120184,tt0265459\""
"nm0063537"|||"Jeremy Beadell"|||\N|||\N|||"visual_effects"|||"\"tt0234215,tt0133093,tt0113492,tt0242653\""
"nm0070578"|||"Nils Bendix"|||\N|||\N|||"\"camera_department,stunts,special_effects\""|||"\"tt0234215,tt0133093,tt1392190,tt0242653\""
"nm0072059"|||"Shane Bennett"|||\N|||\N|||"\"art_department,actor\""|||"\"tt1477834,tt0348150,tt0133093,tt0134847\""
